Period,Accounts,Category,Note,USD,Income/Expense
2024-04-06,Checking,Misc,Transaction 80,498.94,Expense
2021-01-25,Checking,Stock,Transaction 81,630.08,Income
2024-05-26,Savings,Salary,Transaction 82,867.87,Income
2021-11-15,Savings,Misc,Transaction 83,758.39,Expense
2020-12-06,Cash,Transport,Transaction 84,849.31,Expense
2025-02-03,Checking,Bonus,Transaction 85,9.33,Income
2021-04-22,Cash,Salary,Transaction 86,463.88,Income
2024-03-02,Savings,Stock,Transaction 87,266.82,Income
2020-10-03,Savings,Misc,Transaction 88,684.51,Expense
2021-10-30,Savings,Stock,Transaction 89,857.94,Income
2023-01-09,Credit Card,Sales,Transaction 90,415.35,Income
2024-05-01,Savings,Bonus,Transaction 91,744.26,Income
2024-07-18,Checking,Entertainment,Transaction 92,682.48,Expense
2022-09-03,Checking,Salary,Transaction 93,238.65,Income
2021-02-01,Checking,Sales,Transaction 94,760.88,Income
2022-02-14,Credit Card,Sales,Transaction 95,452.88,Income
2024-10-11,Checking,Food,Transaction 96,316.03,Expense
2022-07-22,Checking,Sales,Transaction 97,132.55,Income
2022-01-16,Cash,Sales,Transaction 98,997.93,Income
2021-02-15,Cash,Salary,Transaction 99,375.34,Income
2024-10-02,Savings,Utilities,Transaction 100,804.29,Expense
2022-09-18,Credit Card,Food,Transaction 101,968.17,Expense
2024-02-06,Checking,Bonus,Transaction 102,572.13,Income
2023-11-15,Credit Card,Sales,Transaction 103,501.21,Income
2024-12-11,Cash,Utilities,Transaction 104,329.66,Expense
2024-06-01,Savings,Utilities,Transaction 105,21.10,Expense
2025-08-05,Savings,Utilities,Transaction 106,289.39,Expense
2021-04-18,Savings,Bonus,Transaction 107,25.35,Income
2023-06-15,Credit Card,Transport,Transaction 108,482.83,Expense
2025-05-28,Credit Card,Salary,Transaction 109,559.85,Income
2020-08-20,Credit Card,Misc,Transaction 110,989.97,Expense
2025-03-29,Credit Card,Bonus,Transaction 111,6.55,Income
2021-04-04,Savings,Stock,Transaction 112,977.64,Income
2021-03-23,Credit Card,Misc,Transaction 113,342.05,Expense
2022-09-29,Savings,Food,Transaction 114,571.64,Expense
2024-07-13,Credit Card,Entertainment,Transaction 115,726.34,Expense
2021-07-30,Credit Card,Stock,Transaction 116,828.20,Income
2022-01-18,Cash,Misc,Transaction 117,215.71,Expense
2023-01-29,Credit Card,Food,Transaction 118,927.41,Expense
2023-05-23,Cash,Salary,Transaction 119,989.48,Income
2020-06-09,Savings,Utilities,Transaction 120,105.41,Expense
2024-11-25,Savings,Entertainment,Transaction 121,504.18,Expense
2021-02-13,Cash,Misc,Transaction 122,189.25,Expense
2021-11-20,Credit Card,Bonus,Transaction 123,911.78,Income
2022-01-16,Savings,Entertainment,Transaction 124,576.98,Expense
2024-11-18,Checking,Sales,Transaction 125,135.70,Income
2024-11-24,Cash,Salary,Transaction 126,224.01,Income
2024-12-29,Savings,Misc,Transaction 127,848.74,Expense
2020-08-10,Cash,Food,Transaction 128,758.05,Expense
2020-08-13,Savings,Bonus,Transaction 129,824.23,Income
2021-05-03,Checking,Stock,Transaction 130,329.89,Income
2020-10-11,Credit Card,Utilities,Transaction 131,618.60,Expense
2023-12-30,Credit Card,Bonus,Transaction 132,800.06,Income
2023-12-28,Savings,Transport,Transaction 133,704.35,Expense
2022-03-30,Checking,Stock,Transaction 134,870.32,Income
2021-04-14,Cash,Salary,Transaction 135,323.79,Income
2025-08-03,Checking,Food,Transaction 136,218.20,Expense
2020-01-12,Savings,Salary,Transaction 137,169.65,Income
2024-12-21,Savings,Sales,Transaction 138,202.82,Income
2022-06-09,Cash,Stock,Transaction 139,449.68,Income
2020-02-08,Checking,Food,Transaction 140,42.36,Expense
2020-07-28,Savings,Transport,Transaction 141,456.68,Expense
2020-12-08,Savings,Salary,Transaction 142,660.80,Income
2022-03-15,Cash,Sales,Transaction 143,127.50,Income
2020-12-01,Savings,Stock,Transaction 144,10.76,Income
2024-02-27,Checking,Stock,Transaction 145,697.20,Income
2024-10-23,Savings,Stock,Transaction 146,886.34,Income
2023-11-24,Checking,Food,Transaction 147,118.76,Expense
2023-01-08,Cash,Stock,Transaction 148,49.05,Income
2023-02-08,Credit Card,Misc,Transaction 149,976.75,Expense
2022-03-17,Credit Card,Food,Transaction 150,803.92,Expense
2022-07-26,Savings,Sales,Transaction 151,806.48,Income
2025-08-02,Checking,Stock,Transaction 152,47.93,Income
2023-01-27,Checking,Sales,Transaction 153,847.31,Income
2022-06-13,Checking,Utilities,Transaction 154,546.13,Expense
2021-01-26,Savings,Misc,Transaction 155,951.63,Expense
2020-09-04,Cash,Utilities,Transaction 156,225.89,Expense
2023-09-02,Credit Card,Utilities,Transaction 157,430.73,Expense
2025-04-23,Cash,Utilities,Transaction 158,392.73,Expense
2021-03-28,Savings,Bonus,Transaction 159,899.50,Income
2021-05-01,Cash,Misc,Transaction 160,975.68,Expense
2021-08-01,Savings,Misc,Transaction 161,876.44,Expense
2023-05-28,Savings,Sales,Transaction 162,116.62,Income
2025-02-22,Savings,Salary,Transaction 163,15.60,Income
2021-12-12,Credit Card,Sales,Transaction 164,233.85,Income
2022-06-20,Credit Card,Sales,Transaction 165,26.81,Income
2021-02-06,Savings,Sales,Transaction 166,902.25,Income
2021-01-19,Savings,Entertainment,Transaction 167,94.59,Expense
2022-02-06,Checking,Salary,Transaction 168,923.38,Income
2025-07-31,Savings,Food,Transaction 169,514.48,Expense
2020-08-21,Savings,Sales,Transaction 170,956.37,Income
2021-04-10,Cash,Stock,Transaction 171,610.01,Income
2021-10-30,Credit Card,Misc,Transaction 172,371.64,Expense
2025-05-14,Cash,Salary,Transaction 173,388.01,Income
2023-08-08,Cash,Food,Transaction 174,361.30,Expense
2025-03-18,Cash,Transport,Transaction 175,181.01,Expense
2023-02-03,Savings,Sales,Transaction 176,248.57,Income
2024-05-26,Checking,Bonus,Transaction 177,845.08,Income
2021-08-22,Checking,Misc,Transaction 178,973.75,Expense
2023-12-22,Credit Card,Misc,Transaction 179,498.46,Expense
2022-06-21,Checking,Sales,Transaction 180,464.96,Income
2021-07-17,Credit Card,Utilities,Transaction 181,515.68,Expense
2024-01-06,Credit Card,Entertainment,Transaction 182,385.99,Expense
2021-01-29,Cash,Entertainment,Transaction 183,870.01,Expense
2024-12-07,Credit Card,Food,Transaction 184,446.92,Expense
2024-06-21,Cash,Bonus,Transaction 185,891.04,Income
2025-04-07,Checking,Utilities,Transaction 186,833.00,Expense
2020-05-25,Cash,Stock,Transaction 187,244.31,Income
2024-10-19,Savings,Misc,Transaction 188,845.55,Expense
2021-03-14,Checking,Bonus,Transaction 189,97.61,Income
2021-05-08,Checking,Stock,Transaction 190,934.50,Income
2025-06-15,Cash,Food,Transaction 191,411.85,Expense
2021-04-08,Cash,Utilities,Transaction 192,468.92,Expense
2022-03-20,Cash,Sales,Transaction 193,195.88,Income
2025-06-06,Checking,Stock,Transaction 194,609.37,Income
2020-01-21,Checking,Transport,Transaction 195,939.40,Expense
2021-08-24,Savings,Utilities,Transaction 196,681.58,Expense
2024-12-13,Savings,Bonus,Transaction 197,301.43,Income
2024-06-08,Cash,Transport,Transaction 198,340.94,Expense
2020-08-15,Credit Card,Misc,Transaction 199,623.35,Expense
2025-06-17,Savings,Bonus,Transaction 200,31.25,Income
2021-09-12,Checking,Sales,Transaction 201,412.04,Income
2021-07-10,Savings,Stock,Transaction 202,262.54,Income
2020-08-27,Credit Card,Misc,Transaction 203,982.74,Expense
2023-12-31,Credit Card,Utilities,Transaction 204,636.80,Expense
2021-07-04,Credit Card,Sales,Transaction 205,66.10,Income
2021-05-30,Savings,Utilities,Transaction 206,602.36,Expense
2021-02-12,Credit Card,Salary,Transaction 207,745.46,Income
2023-10-22,Cash,Entertainment,Transaction 208,8.68,Expense
2023-11-04,Savings,Transport,Transaction 209,373.67,Expense
2024-10-30,Savings,Food,Transaction 210,12.58,Expense
2023-09-16,Credit Card,Sales,Transaction 211,202.75,Income
2022-12-11,Credit Card,Salary,Transaction 212,804.85,Income
2024-12-03,Cash,Misc,Transaction 213,37.43,Expense
2023-12-13,Cash,Entertainment,Transaction 214,892.74,Expense
2021-10-27,Checking,Food,Transaction 215,148.59,Expense
2022-09-17,Credit Card,Salary,Transaction 216,776.79,Income
2020-09-12,Credit Card,Bonus,Transaction 217,713.17,Income
2022-07-12,Checking,Stock,Transaction 218,219.74,Income
2022-05-15,Checking,Food,Transaction 219,593.96,Expense
2023-10-31,Credit Card,Salary,Transaction 220,88.50,Income
2020-12-06,Credit Card,Sales,Transaction 221,59.71,Income
2022-04-05,Credit Card,Salary,Transaction 222,71.15,Income
2023-06-16,Savings,Bonus,Transaction 223,708.54,Income
2021-05-26,Credit Card,Food,Transaction 224,663.74,Expense
2025-01-05,Credit Card,Food,Transaction 225,181.26,Expense
2021-03-09,Credit Card,Bonus,Transaction 226,594.48,Income
2023-04-23,Checking,Utilities,Transaction 227,109.25,Expense
2020-03-11,Checking,Transport,Transaction 228,210.33,Expense
2020-11-04,Credit Card,Stock,Transaction 229,973.59,Income
2025-05-26,Checking,Salary,Transaction 230,640.94,Income
2025-07-08,Savings,Food,Transaction 231,279.84,Expense
2024-03-01,Credit Card,Entertainment,Transaction 232,578.76,Expense
2024-11-12,Credit Card,Stock,Transaction 233,815.57,Income
2022-12-16,Checking,Bonus,Transaction 234,262.42,Income
2023-01-09,Credit Card,Bonus,Transaction 235,37.95,Income
2024-10-22,Checking,Salary,Transaction 236,394.25,Income
2024-01-10,Savings,Food,Transaction 237,985.52,Expense
2022-09-04,Credit Card,Transport,Transaction 238,620.70,Expense
2022-07-15,Savings,Bonus,Transaction 239,64.49,Income
2025-07-13,Cash,Salary,Transaction 240,936.35,Income
2020-11-18,Cash,Food,Transaction 241,962.74,Expense
2022-06-17,Checking,Stock,Transaction 242,469.47,Income
2024-09-24,Cash,Entertainment,Transaction 243,763.24,Expense
2020-10-01,Checking,Misc,Transaction 244,727.11,Expense
2020-04-15,Savings,Sales,Transaction 245,175.62,Income
2024-06-12,Credit Card,Stock,Transaction 246,248.07,Income
2024-01-14,Savings,Transport,Transaction 247,21.66,Expense
2020-12-05,Cash,Stock,Transaction 248,278.37,Income
2021-10-01,Cash,Entertainment,Transaction 249,598.66,Expense
2023-08-28,Savings,Sales,Transaction 250,536.97,Income
2020-11-24,Cash,Salary,Transaction 251,210.40,Income
2024-08-31,Credit Card,Food,Transaction 252,145.46,Expense
2020-09-30,Cash,Utilities,Transaction 253,75.69,Expense
2021-09-28,Credit Card,Transport,Transaction 254,62.63,Expense
2020-03-05,Savings,Stock,Transaction 255,14.99,Income
2020-11-06,Savings,Stock,Transaction 256,729.17,Income
2021-05-09,Checking,Sales,Transaction 257,173.17,Income
2021-04-11,Credit Card,Transport,Transaction 258,911.30,Expense
2024-03-25,Savings,Entertainment,Transaction 259,660.65,Expense
2022-08-31,Cash,Food,Transaction 260,245.52,Expense
2020-09-07,Cash,Salary,Transaction 261,853.17,Income
2025-03-05,Cash,Bonus,Transaction 262,940.04,Income
2021-02-25,Savings,Salary,Transaction 263,390.65,Income
2022-11-11,Cash,Stock,Transaction 264,126.26,Income
2021-09-04,Credit Card,Misc,Transaction 265,657.79,Expense
2022-08-05,Checking,Stock,Transaction 266,8.13,Income
2024-03-31,Credit Card,Stock,Transaction 267,357.48,Income
2024-08-14,Credit Card,Sales,Transaction 268,810.35,Income
2022-05-10,Checking,Utilities,Transaction 269,239.36,Expense
2021-11-14,Checking,Misc,Transaction 270,989.53,Expense
2023-06-26,Credit Card,Food,Transaction 271,881.47,Expense
2021-12-13,Credit Card,Transport,Transaction 272,457.08,Expense
2021-11-24,Savings,Salary,Transaction 273,985.19,Income
2024-12-27,Cash,Bonus,Transaction 274,459.39,Income
2021-10-21,Cash,Misc,Transaction 275,745.37,Expense
2023-08-01,Checking,Food,Transaction 276,488.95,Expense
2023-04-21,Credit Card,Misc,Transaction 277,61.41,Expense
2025-05-06,Savings,Entertainment,Transaction 278,547.97,Expense
2025-07-29,Checking,Bonus,Transaction 279,364.00,Income
2022-01-13,Savings,Entertainment,Transaction 280,617.91,Expense
2024-05-03,Credit Card,Salary,Transaction 281,441.01,Income
2020-01-15,Cash,Bonus,Transaction 282,875.32,Income
2024-02-20,Checking,Misc,Transaction 283,635.78,Expense
2021-05-09,Credit Card,Salary,Transaction 284,401.37,Income
2022-04-20,Credit Card,Entertainment,Transaction 285,495.07,Expense
2021-06-21,Savings,Salary,Transaction 286,49.75,Income
2024-07-29,Savings,Misc,Transaction 287,731.65,Expense
2023-08-28,Checking,Stock,Transaction 288,844.95,Income
2023-12-11,Checking,Utilities,Transaction 289,915.95,Expense
2022-09-16,Savings,Food,Transaction 290,569.56,Expense
2021-04-06,Cash,Sales,Transaction 291,416.21,Income
2024-04-22,Cash,Stock,Transaction 292,234.06,Income
2023-11-06,Cash,Bonus,Transaction 293,267.83,Income
2021-01-29,Credit Card,Transport,Transaction 294,865.34,Expense
2021-05-24,Cash,Entertainment,Transaction 295,214.65,Expense
2024-02-27,Savings,Transport,Transaction 296,464.59,Expense
2023-10-15,Savings,Misc,Transaction 297,833.13,Expense
2023-02-12,Checking,Misc,Transaction 298,833.37,Expense
2023-12-10,Checking,Sales,Transaction 299,612.83,Income
2023-11-21,Checking,Sales,Transaction 300,610.92,Income
2021-07-02,Checking,Food,Transaction 301,946.13,Expense
2021-07-01,Cash,Stock,Transaction 302,573.62,Income
2021-12-04,Credit Card,Misc,Transaction 303,846.68,Expense
2020-11-09,Cash,Sales,Transaction 304,676.49,Income
2021-05-12,Checking,Misc,Transaction 305,750.30,Expense
2021-04-28,Cash,Stock,Transaction 306,976.62,Income
2020-11-30,Savings,Salary,Transaction 307,174.28,Income
2021-10-31,Checking,Utilities,Transaction 308,184.52,Expense
2020-02-06,Credit Card,Bonus,Transaction 309,894.45,Income
2022-06-17,Checking,Salary,Transaction 310,336.85,Income
2022-10-23,Cash,Misc,Transaction 311,123.00,Expense
2020-05-24,Cash,Sales,Transaction 312,413.14,Income
2024-02-19,Cash,Bonus,Transaction 313,708.42,Income
2025-05-09,Savings,Salary,Transaction 314,25.40,Income
2024-06-04,Savings,Sales,Transaction 315,1.35,Income
2023-09-08,Cash,Bonus,Transaction 316,527.13,Income
2023-10-13,Credit Card,Sales,Transaction 317,10.70,Income
2023-01-03,Savings,Misc,Transaction 318,914.63,Expense
2021-09-18,Checking,Stock,Transaction 319,136.56,Income
2020-09-10,Checking,Utilities,Transaction 320,998.14,Expense
2024-06-28,Checking,Salary,Transaction 321,487.74,Income
2025-02-20,Checking,Utilities,Transaction 322,256.27,Expense
2024-08-15,Checking,Utilities,Transaction 323,139.57,Expense
2020-03-28,Credit Card,Stock,Transaction 324,127.26,Income
2024-07-15,Savings,Salary,Transaction 325,912.62,Income
2022-06-16,Credit Card,Utilities,Transaction 326,893.77,Expense
2024-10-01,Cash,Entertainment,Transaction 327,714.78,Expense
2023-02-09,Cash,Salary,Transaction 328,351.53,Income
2024-12-18,Credit Card,Misc,Transaction 329,937.45,Expense
2024-03-05,Cash,Misc,Transaction 330,890.08,Expense
2022-01-08,Credit Card,Salary,Transaction 331,904.48,Income
2025-05-04,Savings,Bonus,Transaction 332,49.31,Income
2021-08-27,Checking,Sales,Transaction 333,53.68,Income
2022-06-21,Checking,Utilities,Transaction 334,269.13,Expense
2024-10-30,Cash,Utilities,Transaction 335,106.78,Expense
2024-07-24,Credit Card,Transport,Transaction 336,372.61,Expense
2021-04-03,Credit Card,Stock,Transaction 337,612.80,Income
2024-04-25,Cash,Utilities,Transaction 338,97.61,Expense
2025-05-29,Savings,Stock,Transaction 339,745.16,Income
2020-06-07,Checking,Utilities,Transaction 340,237.89,Expense
2023-03-26,Cash,Bonus,Transaction 341,991.49,Income
2024-12-26,Savings,Bonus,Transaction 342,668.54,Income
2025-07-19,Checking,Entertainment,Transaction 343,624.00,Expense
2021-05-23,Credit Card,Sales,Transaction 344,459.62,Income
2023-07-03,Credit Card,Salary,Transaction 345,308.18,Income
2021-09-02,Credit Card,Entertainment,Transaction 346,874.11,Expense
2020-10-15,Checking,Entertainment,Transaction 347,374.19,Expense
2021-08-03,Checking,Misc,Transaction 348,86.93,Expense
2024-05-14,Credit Card,Sales,Transaction 349,648.25,Income
2020-11-09,Credit Card,Sales,Transaction 350,914.52,Income
2023-12-01,Checking,Salary,Transaction 351,154.18,Income
2021-03-18,Cash,Misc,Transaction 352,146.66,Expense
2022-08-21,Savings,Salary,Transaction 353,3.33,Income
2022-06-05,Checking,Salary,Transaction 354,838.58,Income
2023-01-17,Checking,Bonus,Transaction 355,14.15,Income
2024-04-18,Checking,Utilities,Transaction 356,716.50,Expense
2024-02-17,Cash,Utilities,Transaction 357,262.95,Expense
2020-11-08,Cash,Entertainment,Transaction 358,996.20,Expense
2022-12-23,Savings,Salary,Transaction 359,649.83,Income
2020-10-31,Savings,Misc,Transaction 360,58.49,Expense
2023-08-05,Savings,Entertainment,Transaction 361,177.88,Expense
2022-12-12,Checking,Salary,Transaction 362,428.62,Income
2024-05-25,Savings,Food,Transaction 363,428.62,Expense
2022-05-30,Checking,Misc,Transaction 364,257.91,Expense
2025-06-17,Checking,Stock,Transaction 365,0.86,Income
2024-08-28,Savings,Bonus,Transaction 366,884.43,Income
2020-03-12,Checking,Stock,Transaction 367,485.64,Income
2022-12-05,Checking,Bonus,Transaction 368,874.18,Income
2023-09-21,Cash,Entertainment,Transaction 369,768.68,Expense
2022-12-10,Savings,Misc,Transaction 370,545.73,Expense
2022-06-11,Savings,Sales,Transaction 371,149.18,Income
2023-01-23,Credit Card,Misc,Transaction 372,862.34,Expense
2020-07-18,Credit Card,Entertainment,Transaction 373,36.05,Expense
2022-06-24,Cash,Stock,Transaction 374,818.34,Income
2021-06-11,Savings,Entertainment,Transaction 375,174.54,Expense
2024-04-04,Checking,Bonus,Transaction 376,710.50,Income
2022-02-24,Savings,Stock,Transaction 377,67.14,Income
2022-05-09,Savings,Sales,Transaction 378,797.27,Income
2024-09-30,Checking,Stock,Transaction 379,580.83,Income
2021-03-06,Cash,Bonus,Transaction 380,745.10,Income
2025-07-14,Savings,Stock,Transaction 381,996.87,Income
2025-05-11,Checking,Transport,Transaction 382,868.78,Expense
2020-11-04,Savings,Salary,Transaction 383,598.68,Income
2021-10-29,Cash,Utilities,Transaction 384,286.21,Expense
2020-07-20,Savings,Transport,Transaction 385,533.29,Expense
2024-12-08,Cash,Utilities,Transaction 386,379.35,Expense
2024-09-23,Credit Card,Stock,Transaction 387,922.16,Income
2024-09-23,Savings,Salary,Transaction 388,896.55,Income
2024-12-02,Cash,Entertainment,Transaction 389,652.94,Expense
2023-03-14,Savings,Stock,Transaction 390,53.70,Income
2020-07-10,Credit Card,Stock,Transaction 391,427.24,Income
2021-02-17,Savings,Food,Transaction 392,255.36,Expense
2022-08-05,Cash,Stock,Transaction 393,241.06,Income
2020-07-22,Cash,Misc,Transaction 394,47.18,Expense
2021-02-22,Cash,Misc,Transaction 395,376.88,Expense
2024-07-04,Savings,Transport,Transaction 396,45.50,Expense
2021-03-07,Credit Card,Salary,Transaction 397,617.59,Income
2022-02-05,Checking,Stock,Transaction 398,962.52,Income
2025-03-17,Savings,Salary,Transaction 399,618.22,Income
2022-08-09,Checking,Entertainment,Transaction 400,729.97,Expense
2025-04-15,Cash,Sales,Transaction 401,35.01,Income
2025-06-04,Cash,Salary,Transaction 402,526.92,Income
2024-06-24,Checking,Sales,Transaction 403,146.71,Income
2024-09-05,Cash,Misc,Transaction 404,88.13,Expense
2021-06-04,Savings,Bonus,Transaction 405,766.18,Income
2023-09-09,Savings,Utilities,Transaction 406,51.03,Expense
2022-04-26,Credit Card,Utilities,Transaction 407,781.98,Expense
2020-10-28,Cash,Utilities,Transaction 408,838.62,Expense
2020-11-12,Cash,Stock,Transaction 409,230.69,Income
2024-11-24,Checking,Entertainment,Transaction 410,994.07,Expense
2023-03-15,Checking,Sales,Transaction 411,833.92,Income
2025-04-06,Savings,Food,Transaction 412,178.18,Expense
2021-06-16,Checking,Entertainment,Transaction 413,780.95,Expense
2025-08-03,Credit Card,Entertainment,Transaction 414,385.96,Expense
2025-06-14,Checking,Misc,Transaction 415,595.98,Expense
2021-01-20,Credit Card,Salary,Transaction 416,121.17,Income
2023-04-28,Savings,Misc,Transaction 417,61.76,Expense
2024-03-24,Credit Card,Salary,Transaction 418,871.60,Income
2023-03-27,Checking,Salary,Transaction 419,55.40,Income
2023-02-21,Credit Card,Bonus,Transaction 420,405.36,Income
2022-03-18,Savings,Food,Transaction 421,153.59,Expense
2023-06-26,Credit Card,Entertainment,Transaction 422,184.67,Expense
2021-03-12,Savings,Entertainment,Transaction 423,953.68,Expense
2021-04-09,Credit Card,Bonus,Transaction 424,978.95,Income
2021-04-20,Credit Card,Stock,Transaction 425,808.27,Income
2022-05-26,Checking,Utilities,Transaction 426,214.25,Expense
2025-07-17,Savings,Salary,Transaction 427,868.32,Income
2024-12-04,Savings,Entertainment,Transaction 428,445.64,Expense
2023-02-24,Savings,Utilities,Transaction 429,552.24,Expense
2024-08-02,Savings,Salary,Transaction 430,212.37,Income
2022-06-18,Checking,Salary,Transaction 431,963.81,Income
2024-05-24,Checking,Salary,Transaction 432,754.49,Income
2020-03-21,Credit Card,Entertainment,Transaction 433,725.11,Expense
2023-12-11,Credit Card,Sales,Transaction 434,266.14,Income
2020-09-25,Cash,Utilities,Transaction 435,462.54,Expense
2021-11-22,Savings,Bonus,Transaction 436,880.65,Income
2024-10-10,Savings,Bonus,Transaction 437,184.81,Income
2021-04-01,Cash,Sales,Transaction 438,226.22,Income
2022-11-12,Credit Card,Stock,Transaction 439,816.16,Income
2020-06-18,Checking,Misc,Transaction 440,538.25,Expense
2025-01-19,Savings,Utilities,Transaction 441,128.13,Expense
2025-04-10,Checking,Food,Transaction 442,979.95,Expense
2022-04-08,Savings,Transport,Transaction 443,615.54,Expense
2023-12-26,Credit Card,Stock,Transaction 444,573.68,Income
2024-12-19,Cash,Stock,Transaction 445,565.43,Income
2023-02-24,Cash,Misc,Transaction 446,184.04,Expense
2021-02-18,Cash,Utilities,Transaction 447,164.69,Expense
2024-01-03,Checking,Utilities,Transaction 448,672.29,Expense
2024-04-26,Credit Card,Bonus,Transaction 449,658.37,Income
2021-10-24,Cash,Food,Transaction 450,141.21,Expense
2025-07-20,Savings,Utilities,Transaction 451,220.62,Expense
2021-01-30,Checking,Stock,Transaction 452,700.37,Income
2023-12-13,Savings,Entertainment,Transaction 453,297.92,Expense
2025-01-19,Credit Card,Bonus,Transaction 454,891.45,Income
2023-11-02,Credit Card,Entertainment,Transaction 455,854.94,Expense
2025-07-27,Credit Card,Stock,Transaction 456,837.96,Income
2022-10-06,Credit Card,Entertainment,Transaction 457,852.99,Expense
2020-10-27,Checking,Bonus,Transaction 458,493.52,Income
2024-01-27,Cash,Sales,Transaction 459,850.24,Income
